pit_tag_number,event,alanine_aminotransferase,albumin,alkaline_phosphatase,aspartate_aminotransferase,bilirubin,buffy_coat_thickness,c-reactive_protein,calcium,chloride,cholesterol,cortisol,creatine_phosphokinase,creatinine,globulin,glucose,glutamate_dehydrogenase,haematocrit,haemoglobin,haptoglobin,lymphocytes_abs,magnesium,monocytes_abs,neutrophils_abs,phosphate,potassium,prostaglandin_e2,sodium,thick_buffy_coat,total_protein,triglycerides,urea,white_blood_cell_count,temperature_celsius,satiation_ration,ratioAlbuminGlobulin,ratioNeutrophilslymphocytes,meanCorHaeCon,general_health_classification
840088000649081,3,4,16,35,291,0,0,0.8,2.77,141,10,178,1713,15,20,4.63,67.6,38.5,,14.64,35.2,0.99,0.4,1.5,3.52,3.62,54.45,170,1,36,1.31,0.5,37,13,80,0.8,0.0426136363636364,,0
840088000649082,5,2,17,23,194,0,1,0.79,2.85,137,10,236,460,15,22,5.31,105.1,40,99,11.42,27.2,1.1,0,0.6,3.12,4.82,82.3,169,0,39,1.14,1.3,27.8,17,100,0.772727272727273,0.0220588235294118,24.75,0
840088000649143,3,5,15,33,259,0,2,1.67,2.98,135,9.9,184,5478,16,24,3.97,103.4,45,,13.67,29.1,1.06,0,0.3,3.68,3.97,61.79,165,1,39,0.84,0.5,29.4,13,60,0.625,0.0103092783505155,,1
840088000649160,3,3,17,30,268,0,0,0.65,2.97,140,9.6,252,3368,11,22,4.32,94.7,37,,11.11,35,1.04,0,0.4,3.44,4.48,63.86,170,1,39,1.03,0.5,35.4,13,60,0.772727272727273,0.0114285714285714,,0
840088000649188,3,3,17,36,264,0,0,1.61,2.65,135,8.9,139,1345,6,23,3.99,139.9,42,,9.5,26.4,0.95,0.3,0.5,2.99,3.17,54.66,164,1,39,0.92,0.4,27.2,13,60,0.739130434782609,0.0189393939393939,,1
840088000649384,5,10,16,19,338,0,3,0.59,2.95,136,8.5,289,6347,14,21,4.8,57.2,40,93,10.85,22.2,1.2,0,0.2,3.06,3.32,83.2,167,0,37,1.27,0.4,22.4,17,60,0.761904761904762,0.00900900900900901,23.25,1
840088000649454,5,3,18,12,174,0,3,0.26,2.96,129,7.8,399,9258,14,26,8.19,59.6,39,,6.02,17.8,1.15,0.2,1.6,2.62,4.08,111.4,159,0,44,1.18,0.6,19.6,17,80,0.692307692307692,0.0898876404494382,,1
840088000649519,3,3,15,27,207,0,0,0.69,2.55,136,8.4,255,885,15,20,4.76,108.7,33.5,,13.08,32.1,1.04,0.3,1,3.37,3.34,51.71,166,1,34,1.68,0.5,33.4,13,60,0.75,0.0311526479750779,,1
840088000649539,5,5,13,3,100,0,4,0.79,2.54,133,3.2,41.9,1722,18,14,4.92,47.6,38,85,5.37,19.2,0.96,0.4,0.8,2.37,4.07,46.9,157,1,27,0.42,0.5,20.4,17,60,0.928571428571429,0.0416666666666667,22.3684210526316,0
840088000649705,3,7,15,18,272,0,1,2.92,2.61,134,8.1,241,2354,23,22,3.75,125.2,36,,12.6,30.2,1.18,0,1.6,2.99,3.65,56.62,161,1,37,1.13,0.4,31.8,17,60,0.681818181818182,0.0529801324503311,,0
